Dealer,Number,Suit,Number,Suit,Number,Suit,Number,Suit,UpCard_Suit,UpCard_Number,,Dealer,Number,Suit,Number,Suit,Number,Suit,Number,Suit,,Own Crib (frequencies),,,,,,Other Crib,,,
Bill,8,D,2,H,3,D,4,S,H,7,,Bill,13,H,12,C,4,D,4,C,,,,,,,,,,,
Bill,8,D,2,H,3,D,4,S,H,7,,You,1,H,2,D,8,D,11,C,,,,,,,,,,,
You,7,H,13,D,2,C,13,S,S,5,,Bill,1,D,2,C,12,H,13,H,,,,,,,,,,,
You,7,H,13,D,2,C,13,S,S,5,,You,3,H,8,H,9,S,12,H,,,,,,,,,,,
You,7,H,13,D,2,C,13,S,S,5,,Bill,10,C,7,S,2,S,2,C,,,,,,,,,,,
You,7,H,13,D,2,C,13,S,S,5,,You,2,S,7,H,10,H,12,D,,,,,,,,,,,
You,7,H,13,D,2,C,13,S,S,5,,Bill,13,H,8,C,5,H,12,C,,,,,,,,,,,
You,7,H,13,D,2,C,13,S,S,5,,You,4,C,6,H,2,C,11,S,,,,,,,,,,,
You,7,H,13,D,2,C,13,S,S,5,,Bill,9,S,7,D,1,S,7,S,,,,,,,,,,,
You,7,H,13,D,2,C,13,S,S,5,,You,4,S,6,C,4,H,8,C,,,,,,,,,,,
Bill,8,D,2,C,2,H,4,S,D,4,,Bill,4,C,13,S,7,S,8,D,,,,,,,,,,,
Bill,8,D,2,C,2,H,4,S,D,4,,You,8,C,9,C,11,C,13,D,,,,,,,,,,,
Bill,8,D,2,C,2,H,4,S,D,4,,Bill,3,C,13,D,7,C,9,C,,,,,,,,,,,
Bill,8,D,2,C,2,H,4,S,D,4,,You,5,D,10,C,1,H,11,D,,,,,,,,,,,
Bill,8,D,2,C,2,H,4,S,D,4,,Bill,8,D,9,D,3,S,13,S,,,,,,,,,,,
Bill,8,D,2,C,2,H,4,S,D,4,,You,13,D,13,C,6,C,8,D,,,,,,,,,,,
Bill,8,D,2,C,2,H,4,S,D,4,,Bill,12,H,7,H,1,H,1,D,,,,,,,,,,,
Bill,8,D,2,C,2,H,4,S,D,4,,You,13,D,12,H,1,D,4,D,,,,,,,,,,,
Bill,8,D,2,C,2,H,4,S,D,4,,Bill,10,H,7,H,3,H,12,H,,,,,,,,,,,
You,8,S,1,S,4,S,11,D,C,1,,You,12,S,6,D,2,H,8,C,,,,,,,,,,,
You,8,S,1,S,4,S,11,D,C,1,,Bill,4,S,10,D,6,D,11,S,,,,,,,,,,,
You,8,S,1,S,4,S,11,D,C,1,,You,2,C,3,S,12,H,13,S,,,,,,,,,,,
You,8,S,1,S,4,S,11,D,C,1,,Bill,1,H,3,S,12,S,13,S,,,,,,,,,,,
You,8,S,1,S,4,S,11,D,C,1,,You,7,H,7,C,2,H,8,H,,,,,,,,,,,
You,8,S,1,S,4,S,11,D,C,1,,Bill,13,C,6,C,5,C,10,H,,,,,,,,,,,
You,8,S,1,S,4,S,11,D,C,1,,You,10,D,12,S,1,D,2,H,,,,,,,,,,,
You,8,S,1,S,4,S,11,D,C,1,,Bill,4,H,10,D,5,S,10,S,,,,,,,,,,,
Bill,12,D,10,C,8,H,11,S,D,1,,You,1,H,9,S,5,D,7,H,,,,,,,,,,,
Bill,12,D,10,C,8,H,11,S,D,1,,Bill,4,C,7,H,5,C,11,D,,,,,,,,,,,
Bill,12,D,10,C,8,H,11,S,D,1,,You,3,D,8,C,8,S,12,H,,,,,,,,,,,
Bill,12,D,10,C,8,H,11,S,D,1,,Bill,4,C,10,S,6,H,11,C,,,,,,,,,,,
Bill,12,D,10,C,8,H,11,S,D,1,,You,2,D,3,C,1,H,11,S,,,,,,,,,,,
Bill,12,D,10,C,8,H,11,S,D,1,,Bill,8,S,9,D,6,H,9,C,,,,,,,,,,,
Bill,12,D,10,C,8,H,11,S,D,1,,Bill,11,S,13,H,1,C,10,C,,,,,,,,,,,
Bill,12,D,10,C,8,H,11,S,D,1,,You,2,D,10,C,7,H,11,D,,,,,,,,,,,
Bill,12,D,10,C,8,H,11,S,D,1,,Bill,13,H,1,S,8,H,8,S,,,,,,,,,,,
Bill,12,D,10,C,8,H,11,S,D,1,,You,11,H,12,S,2,C,9,S,,,,,,,,,,,
You,13,H,13,D,3,C,12,D,S,3,,Bill,2,H,6,D,3,C,11,C,,,,,,,,,,,
You,13,H,13,D,3,C,12,D,S,3,,You,5,H,13,S,6,C,8,C,,,,,,,,,,,
You,13,H,13,D,3,C,12,D,S,3,,Bill,4,S,2,C,1,D,2,D,,,,,,,,,,,
You,13,H,13,D,3,C,12,D,S,3,,You,11,C,9,H,3,C,7,D,,,,,,,,,,,
You,13,H,13,D,3,C,12,D,S,3,,Bill,2,D,3,C,4,H,4,S,,,,,,,,,,,
You,13,H,13,D,3,C,12,D,S,3,,Bill,1,S,7,H,2,H,8,D,,,,,,,,,,,
You,13,H,13,D,3,C,12,D,S,3,,You,11,S,10,H,6,S,7,C,,,,,,,,,,,
You,13,H,13,D,3,C,12,D,S,3,,Bill,2,H,9,D,6,S,9,C,,,,,,,,,,,
Bill,4,D,2,S,4,H,6,H,S,11,,You,4,D,7,D,10,H,12,C,,,,,,,,,,,
Bill,4,D,2,S,4,H,6,H,S,11,,Bill,7,C,2,D,11,H,12,H,,,,,,,,,,,
Bill,4,D,2,S,4,H,6,H,S,11,,You,2,H,9,H,9,S,12,D,,,,,,,,,,,
Bill,4,D,2,S,4,H,6,H,S,11,,Bill,8,S,4,C,9,H,9,C,,,,,,,,,,,
Bill,4,D,2,S,4,H,6,H,S,11,,You,1,H,1,C,9,H,13,H,,,,,,,,,,,
Bill,4,D,2,S,4,H,6,H,S,11,,Bill,8,H,13,D,9,D,9,C,,,,,,,,,,,
Bill,4,D,2,S,4,H,6,H,S,11,,Bill,13,D,8,D,1,S,1,D,,,,,,,,,,,
Bill,4,D,2,S,4,H,6,H,S,11,,You,11,H,2,D,9,D,13,C,,,,,,,,,,,
Bill,4,D,2,S,4,H,6,H,S,11,,Bill,13,H,1,C,1,D,8,D,,,,,,,,,,,
You,10,S,3,H,5,C,6,D,S,9,,You,8,S,7,H,4,D,8,H,,,,,,,,,,,
You,10,S,3,H,5,C,6,D,S,9,,Bill,13,H,10,H,9,S,9,C,,,,,,,,,,,
You,10,S,3,H,5,C,6,D,S,9,,You,11,C,13,C,1,H,3,H,,,,,,,,,,,
You,10,S,3,H,5,C,6,D,S,9,,Bill,2,S,8,H,12,H,13,S,,,,,,,,,,,
You,10,S,3,H,5,C,6,D,S,9,,You,12,D,5,S,10,H,12,C,,,,,,,,,,,
You,10,S,3,H,5,C,6,D,S,9,,Bill,9,S,7,D,11,D,12,H,,,,,,,,,,,
You,10,S,3,H,5,C,6,D,S,9,,You,8,C,8,S,9,D,13,C,,,,,,,,,,,
